timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764447163605,2060,HTTP Request,201,Created,Ramp 1-1,text,true,,232,4862156,2,2,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2060,0,103
1764447164802,2881,HTTP Request,201,Created,Ramp 1-2,text,true,,232,4862164,3,3,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2881,0,99
1764447167200,2153,HTTP Request,201,Created,Ramp 1-4,text,true,,232,4862176,3,3,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2153,0,72
1764447166012,4819,HTTP Request,201,Created,Ramp 1-3,text,true,,232,4862176,4,4,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,4819,0,88
1764447169611,2620,HTTP Request,201,Created,Ramp 1-6,text,true,,232,4862152,4,4,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2620,0,91
1764447168412,5330,HTTP Request,201,Created,Ramp 1-5,text,true,,233,4862160,4,4,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,5330,0,75
1764447170802,4075,HTTP Request,201,Created,Ramp 1-7,text,true,,233,4862136,4,4,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,4075,0,83
1764447173202,2532,HTTP Request,201,Created,Ramp 1-9,text,true,,233,4862164,4,4,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2532,0,76
1764447174402,2797,HTTP Request,201,Created,Ramp 1-10,text,true,,233,4862152,4,4,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2797,0,74
1764447175615,2479,HTTP Request,201,Created,Ramp 1-11,text,true,,233,4862164,4,4,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2479,0,89
