timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,201 Count,500 Count,Peticiones
1760903994529,1198,HTTP Request,201,Created,Ramp 1-1,text,true,,259,1748613,1,1,http://127.0.0.1:8000/api/videos/upload,1198,0,3,1,0,1
1760903995730,787,HTTP Request,201,Created,Ramp 1-2,text,true,,259,1748625,1,1,http://127.0.0.1:8000/api/videos/upload,787,0,2,2,0,2
1760903996931,738,HTTP Request,201,Created,Ramp 1-3,text,true,,259,1748633,1,1,http://127.0.0.1:8000/api/videos/upload,738,0,3,3,0,3
1760903998139,807,HTTP Request,201,Created,Ramp 1-4,text,true,,259,1748625,1,1,http://127.0.0.1:8000/api/videos/upload,807,0,1,4,0,4
1760903999380,727,HTTP Request,201,Created,Ramp 1-5,text,true,,259,1748637,1,1,http://127.0.0.1:8000/api/videos/upload,727,0,2,5,0,5
1760904000533,632,HTTP Request,201,Created,Ramp 1-6,text,true,,259,1748645,1,1,http://127.0.0.1:8000/api/videos/upload,632,0,2,6,0,6
1760904001733,685,HTTP Request,201,Created,Ramp 1-7,text,true,,259,1748633,1,1,http://127.0.0.1:8000/api/videos/upload,685,0,2,7,0,7
1760904003005,767,HTTP Request,201,Created,Ramp 1-8,text,true,,259,1748645,1,1,http://127.0.0.1:8000/api/videos/upload,767,0,2,8,0,8
1760904004157,740,HTTP Request,201,Created,Ramp 1-9,text,true,,259,1748645,1,1,http://127.0.0.1:8000/api/videos/upload,740,0,2,9,0,9
1760904005337,1820,HTTP Request,201,Created,Ramp 1-10,text,true,,259,1748609,2,2,http://127.0.0.1:8000/api/videos/upload,1820,0,2,10,0,10
1760904006549,1462,HTTP Request,201,Created,Ramp 1-11,text,true,,259,1748633,2,2,http://127.0.0.1:8000/api/videos/upload,1462,0,2,11,0,11
1760904007799,859,HTTP Request,201,Created,Ramp 1-12,text,true,,259,1748613,1,1,http://127.0.0.1:8000/api/videos/upload,859,0,3,12,0,12
1760904008959,789,HTTP Request,201,Created,Ramp 1-13,text,true,,259,1748629,1,1,http://127.0.0.1:8000/api/videos/upload,789,0,2,13,0,13
1760904010162,843,HTTP Request,201,Created,Ramp 1-14,text,true,,259,1748629,1,1,http://127.0.0.1:8000/api/videos/upload,843,0,2,14,0,14
1760904011363,566,HTTP Request,201,Created,Ramp 1-15,text,true,,259,1748649,1,1,http://127.0.0.1:8000/api/videos/upload,566,0,2,15,0,15
1760904012610,744,HTTP Request,201,Created,Ramp 1-16,text,true,,259,1748629,1,1,http://127.0.0.1:8000/api/videos/upload,744,0,2,16,0,16
1760904013762,682,HTTP Request,201,Created,Ramp 1-17,text,true,,259,1748617,1,1,http://127.0.0.1:8000/api/videos/upload,682,0,1,17,0,17
1760904015011,1541,HTTP Request,201,Created,Ramp 1-18,text,true,,259,1748617,2,2,http://127.0.0.1:8000/api/videos/upload,1541,0,1,18,0,18
1760904016164,1083,HTTP Request,201,Created,Ramp 1-19,text,true,,259,1748641,1,1,http://127.0.0.1:8000/api/videos/upload,1083,0,2,19,0,19
1760904017369,530,HTTP Request,201,Created,Ramp 1-20,text,true,,259,1748645,1,1,http://127.0.0.1:8000/api/videos/upload,530,0,2,20,0,20
1760904018567,621,HTTP Request,201,Created,Ramp 1-21,text,true,,259,1748617,1,1,http://127.0.0.1:8000/api/videos/upload,621,0,2,21,0,21
1760904019763,774,HTTP Request,201,Created,Ramp 1-22,text,true,,259,1748641,1,1,http://127.0.0.1:8000/api/videos/upload,774,0,2,22,0,22
1760904020987,2029,HTTP Request,201,Created,Ramp 1-23,text,true,,259,1748641,2,2,http://127.0.0.1:8000/api/videos/upload,2029,0,2,23,0,23
1760904022167,1534,HTTP Request,201,Created,Ramp 1-24,text,true,,259,1748641,2,2,http://127.0.0.1:8000/api/videos/upload,1534,0,2,24,0,24
1760904023369,750,HTTP Request,201,Created,Ramp 1-25,text,true,,259,1748641,1,1,http://127.0.0.1:8000/api/videos/upload,750,0,4,25,0,25
1760904024568,885,HTTP Request,201,Created,Ramp 1-26,text,true,,259,1748609,1,1,http://127.0.0.1:8000/api/videos/upload,885,0,1,26,0,26
1760904025769,534,HTTP Request,201,Created,Ramp 1-27,text,true,,259,1748609,1,1,http://127.0.0.1:8000/api/videos/upload,534,0,2,27,0,27
1760904026970,559,HTTP Request,201,Created,Ramp 1-28,text,true,,259,1748613,1,1,http://127.0.0.1:8000/api/videos/upload,559,0,2,28,0,28
1760904028170,716,HTTP Request,201,Created,Ramp 1-29,text,true,,259,1748645,1,1,http://127.0.0.1:8000/api/videos/upload,716,0,1,29,0,29
1760904029369,814,HTTP Request,201,Created,Ramp 1-30,text,true,,259,1748621,1,1,http://127.0.0.1:8000/api/videos/upload,814,0,2,30,0,30
1760904030585,547,HTTP Request,201,Created,Ramp 1-31,text,true,,259,1748629,1,1,http://127.0.0.1:8000/api/videos/upload,547,0,2,31,0,31
1760904031772,518,HTTP Request,201,Created,Ramp 1-32,text,true,,259,1748633,1,1,http://127.0.0.1:8000/api/videos/upload,518,0,2,32,0,32
1760904032972,742,HTTP Request,201,Created,Ramp 1-33,text,true,,259,1748637,1,1,http://127.0.0.1:8000/api/videos/upload,742,0,2,33,0,33
1760904034133,651,HTTP Request,201,Created,Ramp 1-34,text,true,,259,1748629,1,1,http://127.0.0.1:8000/api/videos/upload,651,0,2,34,0,34
1760904035372,1983,HTTP Request,201,Created,Ramp 1-35,text,true,,259,1748617,2,2,http://127.0.0.1:8000/api/videos/upload,1983,0,2,35,0,35
1760904036573,1991,HTTP Request,201,Created,Ramp 1-36,text,true,,259,1748637,2,2,http://127.0.0.1:8000/api/videos/upload,1991,0,6,36,0,36
1760904037826,866,HTTP Request,201,Created,Ramp 1-37,text,true,,259,1748625,1,1,http://127.0.0.1:8000/api/videos/upload,866,0,2,37,0,37
1760904038970,672,HTTP Request,201,Created,Ramp 1-38,text,true,,259,1748637,1,1,http://127.0.0.1:8000/api/videos/upload,672,0,2,38,0,38
1760904040179,773,HTTP Request,201,Created,Ramp 1-39,text,true,,259,1748617,1,1,http://127.0.0.1:8000/api/videos/upload,773,0,2,39,0,39
1760904041338,859,HTTP Request,201,Created,Ramp 1-40,text,true,,259,1748649,1,1,http://127.0.0.1:8000/api/videos/upload,859,0,2,40,0,40
1760904042582,809,HTTP Request,201,Created,Ramp 1-41,text,true,,259,1748629,1,1,http://127.0.0.1:8000/api/videos/upload,809,0,2,41,0,41
1760904043778,560,HTTP Request,201,Created,Ramp 1-42,text,true,,259,1748645,1,1,http://127.0.0.1:8000/api/videos/upload,560,0,2,42,0,42
1760904044979,732,HTTP Request,201,Created,Ramp 1-43,text,true,,259,1748649,1,1,http://127.0.0.1:8000/api/videos/upload,732,0,1,43,0,43
1760904046180,568,HTTP Request,201,Created,Ramp 1-44,text,true,,259,1748633,1,1,http://127.0.0.1:8000/api/videos/upload,568,0,1,44,0,44
1760904047380,953,HTTP Request,201,Created,Ramp 1-45,text,true,,259,1748633,1,1,http://127.0.0.1:8000/api/videos/upload,953,0,3,45,0,45
1760904048579,638,HTTP Request,201,Created,Ramp 1-46,text,true,,259,1748629,1,1,http://127.0.0.1:8000/api/videos/upload,638,0,2,46,0,46
1760904049779,553,HTTP Request,201,Created,Ramp 1-47,text,true,,259,1748645,1,1,http://127.0.0.1:8000/api/videos/upload,553,0,2,47,0,47
1760904050981,2468,HTTP Request,201,Created,Ramp 1-48,text,true,,259,1748617,3,3,http://127.0.0.1:8000/api/videos/upload,2468,0,1,48,0,48
1760904052194,1479,HTTP Request,201,Created,Ramp 1-49,text,true,,259,1748617,2,2,http://127.0.0.1:8000/api/videos/upload,1479,0,2,49,0,49
1760904053380,675,HTTP Request,201,Created,Ramp 1-50,text,true,,259,1748625,1,1,http://127.0.0.1:8000/api/videos/upload,675,0,2,50,0,50
1760904054579,802,HTTP Request,201,Created,Ramp 1-51,text,true,,259,1748645,1,1,http://127.0.0.1:8000/api/videos/upload,802,0,2,51,0,51
1760904055780,805,HTTP Request,201,Created,Ramp 1-52,text,true,,259,1748629,1,1,http://127.0.0.1:8000/api/videos/upload,805,0,1,52,0,52
